question,dataset,full_question,question_id,split,option1,option2,option3,option4,true_option
Which of the following is the commonest cause of dementia in the UK?,clinical_knowledge,"Which of the following is the commonest cause of dementia in the UK? Options: 1. Alzheimer's disease, 2. Cerebrovascular (stroke) disease, 3. Lewy body dementia, 4. HIV infection.",486,train,Alzheimer's disease,Cerebrovascular (stroke) disease,Lewy body dementia,HIV infection,1
Which of the following is true in diplopia?,clinical_knowledge,"Which of the following is true in diplopia? Options: 1. Diplopia can never occur if one eye is covered, 2. The outer image is always the false image, 3. A fourth nerve palsy occurs when the patient looks upwards, 4. A sixth nerve palsy causes a divergent squint.",421,train,Diplopia can never occur if one eye is covered,The outer image is always the false image,A fourth nerve palsy occurs when the patient looks upwards,A sixth nerve palsy causes a divergent squint,2
Fatty acids are transported into the mitochondria bound to:,clinical_knowledge,"Fatty acids are transported into the mitochondria bound to: Options: 1. thiokinase, 2. coenzyme A (CoA), 3. acetyl-CoA, 4. carnitine.",404,train,thiokinase,coenzyme A (CoA),acetyl-CoA,carnitine,4
Which of the answers below best indicates the compatible blood types that can be given to a person with a blood group B (rhesus negative)?,clinical_knowledge,"Which of the answers below best indicates the compatible blood types that can be given to a person with a blood group B (rhesus negative)? Options: 1. Blood type AB (rhesus negative), blood type B, and blood type O (rhesus negative), 2. Blood type B (rhesus positive) and blood type O (rhesus positive), 3. Blood type B (rhesus negative) and blood type O (rhesus negative), 4. Blood type B (rhesus negative) only.",446,train,"Blood type AB (rhesus negative), blood type B, and blood type O (rhesus negative)",Blood type B (rhesus positive) and blood type O (rhesus positive),Blood type B (rhesus negative) and blood type O (rhesus negative),Blood type B (rhesus negative) only,3
Which one of the following represents a IIIrd cranial nerve palsy and is a neurosurgical emergency?,clinical_knowledge,"Which one of the following represents a IIIrd cranial nerve palsy and is a neurosurgical emergency? Options: 1. Unilateral constricted pupil, 2. Bilateral constricted pupils, 3. Unilateral fixed dilated pupil, 4. Oval shaped pupils.",437,train,Unilateral constricted pupil,Bilateral constricted pupils,Unilateral fixed dilated pupil,Oval shaped pupils,3
Which of the following is true about a thyroid swelling?,clinical_knowledge,"Which of the following is true about a thyroid swelling? Options: 1. It always elevates on swallowing, 2. Lymph node enlargement is a good prognostic sign, 3. An ultrasound of the swelling is the best test to determine whether the nodule is actively secreting hormone, 4. A functioning nodule on isotope scanning is unlikely to be due to cancer.",445,train,It always elevates on swallowing,Lymph node enlargement is a good prognostic sign,An ultrasound of the swelling is the best test to determine whether the nodule is actively secreting hormone,A functioning nodule on isotope scanning is unlikely to be due to cancer,4
Which of the following is true regarding reflexes?,clinical_knowledge,"Which of the following is true regarding reflexes? Options: 1. A positive babinski reflex is the same as a normal flexor response in the assessment of the plantar reflex, 2. An extensor plantar response indicates a lower motor neurone lesion, 3. The root value of the ankle reflex is S1, 4. The root value of the knee reflex is L1, L2.",455,train,A positive babinski reflex is the same as a normal flexor response in the assessment of the plantar reflex,An extensor plantar response indicates a lower motor neurone lesion,The root value of the ankle reflex is S1,"The root value of the knee reflex is L1, L2",3
Which of the following is true of facial nerve palsy?,clinical_knowledge,"Which of the following is true of facial nerve palsy? Options: 1. Bells palsy is another term for an upper motor neurone lesion, 2. Ramsay Hunt Syndrome is an upper motor neurone lesion secondary to a Herpes Zoster infection, 3. An inability to close the eyelid on the paralysed side indicates a lower motor neurone lesion, 4. In Bell's Palsy the sense of taste is never affected.",430,train,Bells palsy is another term for an upper motor neurone lesion,Ramsay Hunt Syndrome is an upper motor neurone lesion secondary to a Herpes Zoster infection,An inability to close the eyelid on the paralysed side indicates a lower motor neurone lesion,In Bell's Palsy the sense of taste is never affected,3
Which of the following processes is not used to modify protein structure after translation has occurred?,clinical_knowledge,"Which of the following processes is not used to modify protein structure after translation has occurred? Options: 1. Lipidation, 2. Attachment of more amino acids via peptide bonds, 3. Glycosylation, 4. Phosphorylation.",403,train,Lipidation,Attachment of more amino acids via peptide bonds,Glycosylation,Phosphorylation,2
Why would you need to carry out a bladder washout for a patient at home?,clinical_knowledge,"Why would you need to carry out a bladder washout for a patient at home? Options: 1. When their urine is clear, 2. When the catheter is blocked, 3. When the catheter is bypassing, 4. When the catheter is dirty.",451,test,When their urine is clear,When the catheter is blocked,When the catheter is bypassing,When the catheter is dirty,2
