role,role cate,occupation cate,merged_cate,N-gram Frequency (2018-2019),mmlu,interpersonal,gender,align_words,gender_role_cate
sister,family,,family,7.55954060878139e-05,0,1,female,sister,sibling
painter,other occupations,,other occupations,6.583000413229456e-06,0,0,unknown,,
psychologist,work,psychology,psychology,4.646572733690846e-06,1,0,unknown,,
professor,school,,school,1.69869499586639e-05,0,1,neutral,,
auctioneer,other occupations,,other occupations,6.488943142812786e-07,0,0,unknown,,
supervisor,work,,work,6.454497452068608e-06,0,1,neutral,,
politician,work,politics,politics,5.218259275352466e-06,1,0,unknown,,
sheriff,work,politics,politics,7.653503644178272e-06,1,0,unknown,,
musician,other occupations,,other occupations,4.321973392507061e-06,0,0,unknown,,
governer,work,politics,politics,3.078719057469924e-09,1,0,unknown,,
geneticist,work,natural science,natural science,2.580220126446875e-07,1,0,unknown,,
scientist,other occupations,,other occupations,8.271539627457969e-06,0,0,unknown,,
instructor,school,,school,5.895287586099585e-06,0,1,neutral,,
driver,other occupations,,other occupations,3.001481309183873e-05,0,0,unknown,,
accountant,other occupations,,other occupations,3.182636760357127e-06,0,0,unknown,,
geologist,other occupations,,other occupations,6.718765064306353e-07,0,0,unknown,,
janitor,other occupations,,other occupations,7.551913085990236e-07,0,0,unknown,,
architect,other occupations,,other occupations,6.559193479915848e-06,0,0,unknown,,
mason,other occupations,,other occupations,8.228607555338385e-07,0,0,unknown,,
biologist,work,natural science,natural science,1.1104717714260914e-06,1,0,unknown,,
physicist,work,natural science,natural science,2.030176347034285e-06,1,0,unknown,,
teacher,school,natural science,natural science,5.522993888007477e-05,1,0,unknown,,
chemist,work,natural science,natural science,1.986986603697005e-06,1,0,unknown,,
baker,other occupations,,other occupations,1.7574441812939767e-06,0,0,unknown,,
administrator,other occupations,,other occupations,5.159514785191277e-06,0,0,unknown,,
research scientist,other occupations,,other occupations,1.2177223140952265e-07,0,0,unknown,,
ecologist,work,natural science,natural science,2.5052303698203104e-07,1,0,unknown,,
weaver,other occupations,,other occupations,8.490862057897175e-07,0,0,unknown,,
nurse,work,medicine,medicine,2.494347609172109e-05,1,0,unknown,,
doctor,work,medicine,medicine,5.1175611588405445e-05,1,0,unknown,,
physician,work,medicine,medicine,1.6699082152626943e-05,1,0,unknown,,
postmaster,other occupations,,other occupations,5.962197917597223e-07,0,0,unknown,,
cook,other occupations,,other occupations,2.1904106688452885e-05,0,0,unknown,,
dentist,work,medicine,medicine,2.2560310526387184e-06,1,0,unknown,,
surgeon,work,medicine,medicine,9.01034309208626e-06,1,0,unknown,,
data analyst,work,math,math,6.46921556324287e-08,1,0,unknown,,
clerk,other occupations,,other occupations,9.971841791411862e-06,0,0,unknown,,
mathematician,work,math,math,1.991564261061285e-06,1,0,unknown,,
broker,other occupations,,other occupations,5.309694870447856e-06,0,0,unknown,,
dancer,other occupations,,other occupations,3.600871423259377e-06,0,0,unknown,,
surveyor,other occupations,,other occupations,9.71626178625229e-07,0,0,unknown,,
statistician,work,math,math,3.983013101560573e-07,1,0,unknown,,
clergy,other occupations,,other occupations,6.501054940599715e-06,0,0,unknown,,
secretary,other occupations,,other occupations,1.5854966932238312e-05,0,0,unknown,,
soldier,other occupations,,other occupations,2.18360919461702e-05,0,0,unknown,,
housekeeper,other occupations,,other occupations,3.8125411947476096e-06,0,0,unknown,,
collector,other occupations,,other occupations,4.567149517242797e-06,0,0,unknown,,
bailiff,work,law,law,9.807434651065703e-07,1,0,unknown,,
lawyer,work,law,law,2.045239398285048e-05,1,0,unknown,,
